영화대표코드,개봉일,상영시간,관람등급,국가
20234675,20240222,133,15세이상관람가,한국
20236295,20240228,165,12세이상관람가,미국
20236180,20240131,116,전체관람가,미국
20236732,20240306,141,청소년관람불가,미국
20234789,20240306,105,12세이상관람가,미국
20236488,20240313,106,15세이상관람가,미국
20247782,20240313,113,15세이상관람가,미국
20247437,20240301,73,전체관람가,한국
20247074,20240201,100,12세이상관람가,한국
20247053,20240313,117,청소년관람불가,미국
20247076,20240214,103,15세이상관람가,일본
20247473,20240301,77,전체관람가,중국
20231415,20240207,113,12세이상관람가,한국
20247219,20240221,131,15세이상관람가,미국
20247063,20240221,133,15세이상관람가,미국
20206946,20240124,113,15세이상관람가,한국
20212668,20240207,119,12세이상관람가,한국
20246966,20240207,83,전체관람가,미국
20211477,20240207,108,15세이상관람가,한국
20234581,20240207,138,12세이상관람가,미국
20234730,20240131,151,15세이상관람가,프랑스
20212866,20231122,141,12세이상관람가,한국
20235253,20240110,122,12세이상관람가,한국
20235834,20240103,94,전체관람가,미국
20235583,20240110,91,전체관람가,미국
20246964,20240131,88,전체관람가,프랑스
20203702,20231220,152,12세이상관람가,한국
20236464,20240124,114,15세이상관람가,프랑스
20236146,20231222,94,전체관람가,일본
20235353,20240110,125,12세이상관람가,한국
20161872,20170104,106,12세이상관람가,일본
20235854,20240117,105,15세이상관람가,미국
20234114,20231129,126,12세이상관람가,일본
20228555,20230104,124,12세이상관람가,일본
20235735,20231220,123,12세이상관람가,미국
20235596,20231220,91,전체관람가,미국
20234673,20231213,77,전체관람가,한국
20236045,20231227,68,전체관람가,영국
20235290,20231227,86,전체관람가,한국
20236080,20231227,103,전체관람가,일본
20190324,20231206,105,12세이상관람가,한국
20235980,20231213,110,전체관람가,일본
20233299,20231220,111,전체관람가,미국
20235098,20231206,158,15세이상관람가,미국
20235698,20231213,118,청소년관람불가,미국
20202247,20231129,102,12세이상관람가,한국
20235030,20231115,109,12세이상관람가,미국
20235697,20231206,102,전체관람가,한국
20234664,20231025,123,전체관람가,일본
20234957,20231123,92,전체관람가,미국
20235261,20231129,80,12세이상관람가,일본
20136803,20140116,108,전체관람가,미국
20234798,20231130,64,전체관람가,한국
20232536,20230720,109,12세이상관람가,일본
20234797,20231115,157,15세이상관람가,미국
20235034,20231108,104,12세이상관람가,미국
20228313,20221130,121,12세이상관람가,일본
20234293,20231118,79,전체관람가,독일
20228819,20231003,119,12세이상관람가,한국
20200622,20231101,123,15세이상관람가,한국
20081056,20080806,152,15세이상관람가,미국
20225894,20231108,112,15세이상관람가,한국
